occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no
128951,occ,,,10644,Metaclepsydropsis duplex,species,410927,,Metaclepsydropsis duplex,species,410927,Hastarian,Ivorian,358.9,346.7,3947
128952,occ,,,10644,Metadineuron ellipticum,species,410936,,Metadineuron ellipticum,species,410935,Hastarian,Ivorian,358.9,346.7,3947
128958,occ,,,10645,Etapteris tubicaulis,species,408389,,Etapteris tubicaulis,species,408388,Hastarian,Asbian,358.9,336.3,3947
128987,occ,,,10646,Metadineuron ellipticum,species,410936,,Metadineuron ellipticum,species,410935,Asbian,,340.2,336.3,3947
128989,occ,,,10646,Metaclepsydropsis duplex,species,410927,,Metaclepsydropsis duplex,species,410927,Asbian,,340.2,336.3,3947
129168,occ,,,10655,Clepsydropsis antiqua,species,406701,,Clepsydropsis antiqua,species,406701,Mississippian,,358.9,323.2,3947
129181,occ,,,10656,Clepsydropsis antiqua,species,406701,,Clepsydropsis antiqua,species,406701,Tournaisian,Visean,358.9,330.9,3947
129207,occ,,,10657,Clepsydropsis antiqua,species,406701,,Clepsydropsis antiqua,species,406701,Tournaisian,,358.9,346.7,3947
129252,occ,,,10659,Metaclepsydropsis duplex,species,410927,,Metaclepsydropsis duplex,species,410927,Mississippian,,358.9,323.2,3947
129254,occ,,,10659,Dineuron pteroides,species,407728,,Dineuron pteroides,species,407728,Mississippian,,358.9,323.2,3947
129255,occ,,,10659,Etapteris cf. tubicaulis,species,408389,,Etapteris tubicaulis,species,408388,Mississippian,,358.9,323.2,3947
129259,occ,,,10659,Todeopsis primaeva,species,415805,,Todeopsis primaeva,species,415805,Mississippian,,358.9,323.2,3947
129265,occ,,,10660,Metaclepsydropsis duplex,species,410927,,Metaclepsydropsis duplex,species,410927,Mississippian,,358.9,323.2,3947
129875,occ,,,10729,Lobatopteris cf. vestita,species,410541,,Lobatopteris vestita,species,410541,Westphalian D,,309.8,307.4,3946
129879,occ,,,10730,Lobatopteris cf. vestita,species,410541,,Lobatopteris vestita,species,410541,Westphalian D,,309.8,307.4,3946
129893,occ,,,10732,Lobatopteris cf. vestita,species,410541,,Lobatopteris vestita,species,410541,Westphalian D,,309.8,307.4,3946
129914,occ,,,10736,Lobatopteris cf. vestita,species,410541,,Lobatopteris vestita,species,410541,Westphalian D,,309.8,307.4,3946
129929,occ,,,10738,Lobatopteris cf. vestita,species,410541,,Lobatopteris vestita,species,410541,Westphalian D,,309.8,307.4,3946
129976,occ,,,10742,Deltoidospora grandis,species,467175,,Deltoidospora grandis,species,467175,Desmoinesian,,312.7,305.9,3992
130026,occ,,F,10742,Laevigatosporites vulgaris,species,252493,,Laevigatosporites vulgaris,species,252493,Desmoinesian,,312.7,305.9,3992
130277,occ,,,10756,Calamites undulatus,species,125730,,Calamites undulatus,species,125730,Pennsylvanian,,323.2,298.9,3999
130379,occ,,,10779,Deltoidospora grandis,species,467175,,Deltoidospora grandis,species,467175,Desmoinesian,,312.7,305.9,3992
130447,occ,,F,10779,Laevigatosporites vulgaris,species,252493,,Laevigatosporites vulgaris,species,252493,Desmoinesian,,312.7,305.9,3992
130505,occ,,,10780,Murospora kosankei,species,461719,,Murospora kosankei,species,461719,Desmoinesian,,312.7,305.9,3992
130652,occ,,F,10782,Laevigatosporites vulgaris,species,252493,,Laevigatosporites vulgaris,species,252493,Desmoinesian,,312.7,305.9,3992
130881,occ,,,10786,Granulatisporites parvus,species,455826,,Granulatisporites parvus,species,455826,Desmoinesian,,312.7,305.9,3992
130953,occ,,,10802,Equisetum magnum,species,55230,,Equisetum magnum,species,55230,Wasatchian,,54.9,50.5,4023
130956,occ,,,10802,Lygodium kaulfussi,species,55241,,Lygodium kaulfussi,species,55241,Wasatchian,,54.9,50.5,4023
130963,occ,,,10802,Salvinia preauriculata,species,55249,,Salvinia preauriculata,species,55249,Wasatchian,,54.9,50.5,4023
130972,occ,,,10805,Equisetum magnum,species,55230,,Equisetum magnum,species,55230,Clarkforkian,,56.2,54.9,4023
130977,occ,,,10806,Hemitelia magna,species,55242,recombined as,Asplenium magnum,species,55243,Wasatchian,,54.9,50.5,4023
130979,occ,,,10806,Salvinia preauriculata,species,55249,,Salvinia preauriculata,species,55249,Wasatchian,,54.9,50.5,4023
130987,occ,,,10807,Salvinia preauriculata,species,55249,,Salvinia preauriculata,species,55249,Wasatchian,,54.9,50.5,4023
130990,occ,,,10803,Equisetum magnum,species,55230,,Equisetum magnum,species,55230,Clarkforkian,,56.2,54.9,4023
130997,occ,,,10808,Equisetum magnum,species,55230,,Equisetum magnum,species,55230,Clarkforkian,,56.2,54.9,4023
131011,occ,,,10810,Osmunda macrophylla,species,55239,,Osmunda macrophylla,species,55239,Clarkforkian,,56.2,54.9,4023
131022,occ,,,10811,Equisetum n. sp. magnum,species,55230,,Equisetum magnum,species,55230,Clarkforkian,,56.2,54.9,4023
131299,occ,,,10885,Calamites undulatus,species,125730,,Calamites undulatus,species,125730,Pennsylvanian,,323.2,298.9,4003
131308,occ,,,10886,Pecopteris dentata ?,species,413185,recombined as,Prepecopteris dentata,species,413185,Pennsylvanian,,323.2,298.9,4003
131376,occ,,,10789,Deltoidospora grandis,species,467175,,Deltoidospora grandis,species,467175,Desmoinesian,,312.7,305.9,3992
131413,occ,,,10791,Deltoidospora grandis,species,467175,,Deltoidospora grandis,species,467175,Desmoinesian,,312.7,305.9,3992
131694,occ,,F,10801,Laevigatosporites vulgaris,species,252493,,Laevigatosporites vulgaris,species,252493,Missourian,,305.9,303.7,3992
131724,occ,,,10889,Megalopteris dawsoni,species,410800,,Megalopteris dawsoni,species,410799,Pennsylvanian,,323.2,298.9,4003
131734,occ,,,10889,Calamites suckowii,species,125729,,Calamites suckowii,species,125729,Pennsylvanian,,323.2,298.9,4003
131750,occ,,,10889,Palmatopteris furcata,species,411977,,Palmatopteris furcata,species,411977,Pennsylvanian,,323.2,298.9,4003
131762,occ,,,10889,Calamites suckowii,species,125729,,Calamites suckowii,species,125729,Pennsylvanian,,323.2,298.9,4003
132240,occ,,,10965,Onoclea hesperia,species,55245,,Onoclea hesperia,species,55245,Wasatchian,,54.9,50.5,4023
132254,occ,,,10968,Onoclea hesperia,species,55245,,Onoclea hesperia,species,55245,Clarkforkian,,56.2,54.9,4023
132255,occ,,,10968,Osmunda macrophylla,species,55239,,Osmunda macrophylla,species,55239,Clarkforkian,,56.2,54.9,4023
132278,occ,,,10973,Lygodium kaulfussi,species,55241,,Lygodium kaulfussi,species,55241,Wasatchian,,54.9,50.5,4023
132280,occ,,,10973,Salvinia preauriculata,species,55249,,Salvinia preauriculata,species,55249,Wasatchian,,54.9,50.5,4023
132293,occ,,,10974,Lygodium kaulfussi,species,55241,,Lygodium kaulfussi,species,55241,Wasatchian,,54.9,50.5,4023
132294,occ,,,10974,Salvinia preauriculata,species,55249,,Salvinia preauriculata,species,55249,Wasatchian,,54.9,50.5,4023
132306,occ,,,10976,Salvinia preauriculata,species,55249,,Salvinia preauriculata,species,55249,Wasatchian,,54.9,50.5,4023
132317,occ,,,10980,Salvinia preauriculata,species,55249,,Salvinia preauriculata,species,55249,Wasatchian,,54.9,50.5,4023
132323,occ,,,10982,Equisetum magnum,species,55230,,Equisetum magnum,species,55230,Clarkforkian,,56.2,54.9,4023
132802,occ,,,11042,Stelastellara parvula,species,415137,,Stelastellara parvula,species,415137,Desmoinesian,,312.7,305.9,4066
132812,occ,,,11043,Stelastellara parvula,species,415137,,Stelastellara parvula,species,415137,Desmoinesian,,312.7,305.9,4066
