"interval_no","interval_name","max_ma","min_ma","X_Ft","X_bL","X_FL","X_bt","sampled_in_bin","implied_in_bin","n_occs"
"922","Late Pleistocene","0.129","0.0117","0","15","4","0","19","2","99"
"1203","Chibanian","0.774","0.129","2","4","1","13","11","1","17"
"740","Calabrian","1.8","0.774","1","7","1","16","17","1","263"
"741","Gelasian","2.58","1.8","0","1","0","23","1","0","2"
"96","Piacenzian","3.6","2.58","0","0","0","24","4","0","15"
"97","Zanclean","5.333","3.6","0","9","1","24","19","3","72"
"98","Messinian","7.246","5.333","0","0","0","33","1","0","2"
"99","Tortonian","11.63","7.246","1","19","0","32","28","0","87"
"100","Serravallian","13.82","11.63","0","8","2","51","38","0","196"
"101","Langhian","15.98","13.82","2","0","0","57","6","0","16"
"102","Burdigalian","20.44","15.98","0","1","0","57","13","2","54"
"103","Aquitanian","23.03","20.44","1","0","0","57","7","0","8"
"104","Chattian","27.82","23.03","0","0","1","57","9","1","42"
"105","Rupelian","33.9","27.82","2","9","1","55","37","2","122"
"106","Priabonian","37.71","33.9","1","7","2","63","37","1","398"
"107","Bartonian","41.2","37.71","1","1","0","69","11","0","18"
"108","Lutetian","47.8","41.2","2","12","5","68","44","0","243"
"109","Ypresian","56","47.8","5","10","1","75","51","2","496"
"110","Thanetian","59.2","56","2","2","1","83","34","0","200"
"743","Selandian","61.6","59.2","0","0","0","85","0","0","0"
"111","Danian","66","61.6","0","6","5","85","53","2","554"
"112","Maastrichtian","72.1","66","2","13","5","89","74","0","649"
"113","Campanian","83.6","72.1","5","8","4","97","71","5","434"
"114","Santonian","86.3","83.6","1","1","1","104","12","0","18"
"115","Coniacian","89.8","86.3","0","0","0","105","10","0","104"
"116","Turonian","93.9","89.8","2","1","0","103","25","0","79"
"117","Cenomanian","100.5","93.9","6","13","4","98","81","0","1026"
"118","Albian","113","100.5","9","5","3","102","87","0","1505"
"119","Aptian","121.4","113","19","7","15","88","94","2","1209"
"120","Barremian","125.77","121.4","6","6","2","89","58","2","237"
"121","Hauterivian","132.6","125.77","5","0","0","90","32","0","88"
"122","Valanginian","139.8","132.6","3","0","3","87","20","1","52"
"123","Berriasian","145","139.8","3","2","1","84","18","0","48"
"124","Tithonian","149.2","145","0","1","0","86","11","0","116"
"125","Kimmeridgian","154.8","149.2","2","8","1","85","27","0","206"
"126","Oxfordian","161.5","154.8","3","1","0","90","29","0","142"
"127","Callovian","165.3","161.5","0","3","0","91","23","0","130"
"128","Bathonian","168.2","165.3","2","1","0","92","38","2","451"
"129","Bajocian","170.9","168.2","0","1","1","93","25","0","343"
"130","Aalenian","174.7","170.9","2","2","0","92","33","0","520"
"131","Toarcian","184.2","174.7","7","3","2","87","47","0","551"
"132","Pliensbachian","192.9","184.2","2","1","1","88","27","0","202"
"133","Sinemurian","199.5","192.9","7","0","1","82","40","0","349"
"134","Hettangian","201.4","199.5","0","0","0","82","13","0","43"
"135","Rhaetian","208.5","201.4","3","4","1","79","34","0","228"
"136","Norian","227","208.5","6","16","6","77","65","0","1237"
"137","Carnian","237","227","17","4","2","76","54","0","512"
"138","Ladinian","242","237","10","3","2","70","29","0","136"
"139","Anisian","247.2","242","5","0","1","68","30","0","184"
"652","Olenekian","251.2","247.2","8","7","2","60","40","0","183"
"653","Induan","251.902","251.2","11","0","0","56","34","0","224"
"715","Changhsingian","254.14","251.902","0","9","0","56","21","0","103"
"716","Wuchiapingian","259.51","254.14","6","11","2","59","51","0","721"
"145","Capitanian","264.28","259.51","3","1","2","67","28","0","199"
"146","Wordian","266.9","264.28","0","0","0","68","10","0","17"
"717","Roadian","273.01","266.9","1","3","0","67","20","0","286"
"148","Kungurian","283.5","273.01","13","6","4","57","51","0","465"
"149","Artinskian","290.1","283.5","6","1","2","57","21","0","115"
"150","Sakmarian","293.52","290.1","5","1","0","53","17","0","64"
"151","Asselian","298.9","293.52","8","1","0","46","30","0","185"
"49","Gzhelian","303.7","298.9","4","3","3","43","34","0","645"
"50","Kasimovian","307","303.7","1","2","0","45","17","1","59"
"51","Moscovian","315.2","307","13","3","7","34","44","0","699"
"52","Bashkirian","323.2","315.2","10","4","8","27","35","0","177"
"53","Serpukhovian","330.9","323.2","5","0","1","26","14","0","25"
"54","Visean","346.7","330.9","0","9","5","26","24","0","139"
"55","Tournaisian","358.9","346.7","9","0","1","26","22","0","80"
"177","Famennian","372.2","358.9","10","1","5","16","21","0","68"
"178","Frasnian","382.7","372.2","2","1","3","15","13","0","70"
"179","Givetian","387.7","382.7","6","0","3","10","15","0","64"
"180","Eifelian","393.3","387.7","2","1","2","8","7","0","22"
"181","Emsian","407.6","393.3","9","0","1","0","10","0","17"
